e57d36c9-270f-4366-a088-32607319bbf1;"821";"Lochner, Stefan";"Martyrium des hl. Petrus"
c7149d56-b3e1-45d9-95e2-96ee94178752;"822";"Lochner, Stefan";"Martyrium des hl. Andreas"
3743f9c2-d253-4851-8c5e-2b4e0a531aa0;"823";"Lochner, Stefan";"Martyrium des hl. Jakobus d.Ä."
b48cddae-d0b0-4f55-ac71-00d2285cb10a;"824";"Lochner, Stefan";"Martyrium des hl. Johannes Ev."
45021dad-e91d-4cea-aeaa-a70bdd853e57;"825";"Lochner, Stefan";"Martyrium des hl. Philippus"
a0d692c8-29fd-48da-9795-2bbb966eabb0;"826";"Lochner, Stefan";"Martyrium des hl. Bartholomäus"
210e6335-2bf9-4b15-afe4-c142e030fae5;"827";"Lochner, Stefan";"Martyrium des hl. Thomas"
aac033fd-dcc6-4249-a0fc-53dfea1d37c4;"828";"Lochner, Stefan";"Martyrium des hl. Matthäus"
2ce56af7-08d8-4d3d-a5d0-8b0be98ec60b;"829";"Lochner, Stefan";"Martyrium des hl. Jacobus d.J."
4f7ff0e7-4803-4472-a041-261d72d4fa77;"830";"Lochner, Stefan";"Martyrium der Heiligen Simon und Judas"
b7d0cafa-4e0b-4838-acd7-8fa5c0bdb71a;"831";"Lochner, Stefan";"Martyrium des hl. Matthias"
4ae8ef5f-732f-4cc5-92f2-4b2314cbe932;"832";"Lochner, Stefan";"Martyrium des hl. Paulus"
25a0efb1-0261-406f-b1db-512daac6f578;"839";"Catena, Vincenzo";"Der heilige Hieronymus im Studierzimmer"
d0a261dd-7902-4f00-ad92-0e65c44f99d8;"842";"Jacopo del Casentino";"Thronende Madonna mit Kind und Heiligen, Engeln und Stiftern"
ee186e3f-3444-4385-9d76-fc0daa0be318;"843";"Perugino, Pietro";"Madonna mit Kind und Johannesknaben"
7f485d15-329f-4ada-8a44-2ab51f43e09f;"845";"Meister der Stalburg-Bildnisse";"Bildnis des Claus Stalburg (1469-1524)"
04c6edc5-9ae3-46d8-ade9-a5581391de35;"846";"Meister der Stalburg-Bildnisse";"Bildnis der Margarete Stalburg, geb. vom Rhein (1484-1550)"
b98991bb-7295-4e96-8e93-5eeb3faa1a6b;"850";"Weyden, Rogier van der";"Medici-Madonna"
8a2d505e-4d08-49cd-968a-0a5e0393a3fd;"875";"Achenbach, Andreas";"Ein Seesturm an der norwegischen Küste"
9bd53896-f168-4fa6-9227-fc32bf8d5349;"885";"Netscher, Caspar";"Bildnis von Pieter Six (1655-1703) mit einem Diener mit Jagdbeute"
3294ba41-0729-464d-b1b8-f0584f8f07e8;"890";"Dürer, Albrecht";"Hiob auf dem Misthaufen"
